,HYSRI FP Equity_DX_SI_QTY,HYSRI FP Equity_DX_SHORT_INTEREST_VALUE,HYSRI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,HYSRI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,HYSRI FP Equity_DX_SI_MV,HYSRI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,HYSRI FP Equity_DX_SUPPLY_SI_QTY,HYSRI FP Equity_DX_BROKER_SI_QTY,HYSRI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,HYSRI FP Equity_DX_SUPPLY_SI_QTY_INC_x,HYSRI FP Equity_DX_BROKER_SI_MV_INC_x,HYSRI FP Equity_DX_BROKER_SI_QTY_ADD,HYSRI FP Equity_DX_SUPPLY_SI_MV_DEC,HYSRI FP Equity_DX_BROKER_SI_QTY_INC,HYSRI FP Equity_DX_SUPPLY_SI_QTY_DEC,HYSRI FP Equity_DX_BROKER_SI_MV_INC_y,HYSRI FP Equity_DX_SUPPLY_SI_QTY_INC_y,HYSRI FP Equity_DX_BROKER_SI_MV_ADD,HYSRI FP Equity_DX_SUPPLY_SI_QTY_ADD,HYSRI FP Equity_DX_BROKER_SI_QTY_DEC,HYSRI FP Equity_DX_SUPPLY_SI_MV,HYSRI FP Equity_DX_BROKER_SI_MV_DEC,HYSRI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,HYSRI FP Equity_DX_UTILIZATION_QUANTITY,HYSRI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,HYSRI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,HYSRI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,HYSRI FP Equity_DX_ACTIVE_UTILIZATION_MV,HYSRI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,HYSRI FP Equity_DX_BROKER_SI_CON_RATIO,HYSRI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,HYSRI FP Equity_DX_DEMAND_SUPPLY_RATIO,HYSRI FP Equity_PX_LAST
2021-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.988
2021-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.998
2021-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.004
2021-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.991
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.006
2021-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.034
2021-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.042
2021-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.046
2021-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.044
2021-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.04
2021-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.042
2021-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.03
2021-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.038
2021-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.054
2021-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.066
2021-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.056
2021-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.036
2021-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.054
2021-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.064
2021-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.058
2021-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.058
2021-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.062
2021-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.064
2021-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.066
2021-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.066
2021-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.082
2021-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.06
2021-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.072
2021-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.09
2021-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.092
2021-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.098
2021-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.07
2021-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.068
2021-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.042
2021-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.054
2021-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.044
2021-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.052
2021-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.032
2021-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.04
2021-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.048
2021-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.044
2021-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.052
2021-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.066
2021-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.076
2021-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.08
2021-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.082
2021-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.09
2021-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.094
2021-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.11
2021-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.118
2021-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.124
2021-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.13
2021-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.144
2021-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.15
2021-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.156
2021-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.152
2021-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.144
2021-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.142
2021-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.128
2021-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.126
2021-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.126
2021-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.124
2021-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.132
2021-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.132
2021-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.134
2021-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.134
2021-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.132
2021-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.126
2021-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.132
2021-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.138
2021-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.132
2021-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.136
2021-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.152
2021-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.134
2021-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.144
2021-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.146
2021-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.142
2021-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.142
2021-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.142
2021-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.156
2021-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.134
2021-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.138
2021-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.148
2021-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.164
2021-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.172
2021-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.162
2021-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.164
2021-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.174
2021-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.178
2021-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.184
2021-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.18
2021-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.192
2021-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.194
2021-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2021-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.208
2021-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.202
2021-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.198
2021-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.194
2021-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.192
2021-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.196
2021-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.196
2021-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.19
2021-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.188
2021-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.18
2021-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.182
2021-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.184
2021-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.19
2021-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.184
2021-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.184
2021-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.182
2021-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.186
2021-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.19
2021-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.19
2021-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2021-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.192
2021-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.216
2021-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.204
2021-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.204
2021-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.208
2021-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.196
2021-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.214
2021-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.228
2021-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.23
2021-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.218
2021-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.194
2021-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2
2021-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.216
2021-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.21
2021-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.196
2021-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.18
2021-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.158
2021-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.166
2021-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.142
2021-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.15
2021-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.144
2021-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.136
2021-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.098
2021-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.14
2021-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.112
2021-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.092
2021-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.072
2021-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.084
2021-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.116
2021-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.146
2021-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.08
2021-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.098
2021-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.112
2021-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.104
2021-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2021-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.088
2021-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.128
2021-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.12
2021-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.116
2021-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.076
2021-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.086
2021-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.102
2021-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.104
2021-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.16
2021-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.176
2021-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.184
2021-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.166
2021-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.136
2021-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.118
2021-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.108
2021-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.132
2021-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.106
2021-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.112
2021-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.12
2021-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.114
2021-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.102
2021-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.088
2021-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.072
2021-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.068
2021-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.991
2021-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.024
2021-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.018
2021-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.074
2021-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.064
2021-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.076
2021-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.092
2021-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.11
2021-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.116
2021-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.122
2021-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.122
2021-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.122
2021-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.098
2021-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.102
2021-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.128
2021-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.118
2021-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.122
2021-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.126
2021-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.15
2021-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.148
2021-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.17
2021-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.196
2021-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.15
2022-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.17
2022-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.146
2022-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.166
2022-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.134
2022-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.138
2022-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2022-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.108
2022-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.108
2022-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.098
2022-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.086
2022-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.082
2022-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.056
2022-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.072
2022-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.07
2022-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.05
2022-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.984
2022-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.998
2022-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.034
2022-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.002
2022-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.936
2022-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.94
2022-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.972
2022-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.981
2022-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.898
2022-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.806
2022-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.758
2022-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.762
2022-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.833
2022-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.776
2022-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.753
2022-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.706
2022-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.74
2022-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.74
2022-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.715
2022-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.648
2022-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.654
2022-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.698
2022-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.647
2022-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.698
2022-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.683
2022-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.66
2022-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.498
2022-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.528
2022-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.625
2022-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.533
2022-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.54
2022-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.519
2022-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.507
2022-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.604
2022-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.644
2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.644
2022-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.644
2022-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.646
2022-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.632
2022-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.62
2022-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2022-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.686
2022-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.72
2022-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.686
2022-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.588
2022-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.584
2022-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.582
2022-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.55
2022-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.526
2022-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.504
