,IQEE FP Equity_DX_SI_QTY,IQEE FP Equity_DX_SHORT_INTEREST_VALUE,IQEE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,IQEE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,IQEE FP Equity_DX_SI_MV,IQEE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,IQEE FP Equity_DX_SUPPLY_SI_QTY,IQEE FP Equity_DX_BROKER_SI_QTY,IQEE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,IQEE FP Equity_DX_BROKER_SI_MV_INC_x,IQEE FP Equity_DX_BROKER_SI_QTY_ADD,IQEE FP Equity_DX_BROKER_SI_QTY_INC,IQEE FP Equity_DX_BROKER_SI_MV_INC_y,IQEE FP Equity_DX_BROKER_SI_MV_ADD,IQEE FP Equity_DX_BROKER_SI_QTY_DEC,IQEE FP Equity_DX_SUPPLY_SI_MV,IQEE FP Equity_DX_BROKER_SI_MV_DEC,IQEE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,IQEE FP Equity_DX_UTILIZATION_QUANTITY,IQEE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,IQEE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,IQEE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,IQEE FP Equity_DX_ACTIVE_UTILIZATION_MV,IQEE FP Equity_DX_BROKER_SI_CON_RATIO,IQEE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,IQEE FP Equity_DX_DEMAND_SUPPLY_RATIO
2020-06-04,16000.0,394560.0,6.49,0.24,0.4,394560.0,0.0,16000.0,0.0,,16000.0,,,0.4,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2020-06-05,16000.0,406320.0,6.41,0.24,0.39,406320.0,0.0,16000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2020-06-08,16000.0,404800.0,13.18,0.24,0.41,404800.0,0.0,16000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2020-06-09,16000.0,398240.0,12.83,0.24,0.4,398240.0,0.0,16000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2020-10-21,20400.0,502860.0,9.7,0.31,0.53,502860.0,0.0,20400.0,0.0,,20400.0,,,0.53,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2020-10-22,20400.0,502452.0,10.18,0.31,0.53,502452.0,0.0,20400.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2020-10-23,20400.0,506736.0,10.18,0.31,0.53,506736.0,0.0,20400.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2020-10-26,20400.0,497760.0,16.23,0.31,0.53,497760.0,0.0,20400.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2020-10-27,20400.0,492864.0,15.8,0.31,0.52,492864.0,0.0,20400.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2020-10-28,20400.0,478482.0,15.8,0.31,0.52,478482.0,0.0,20400.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2020-10-29,34200.0,804042.0,26.49,0.51,0.84,804042.0,0.0,34200.0,0.0,0.32,,13800.0,0.32,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2020-10-30,34200.0,806607.0,26.49,0.51,0.84,806607.0,0.0,34200.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2020-11-02,34200.0,819603.0,26.49,0.51,0.85,819603.0,0.0,34200.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2020-11-03,34200.0,841149.0,25.74,0.51,0.85,841149.0,0.0,34200.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2020-11-04,34200.0,852093.0,25.67,0.51,0.87,852093.0,0.0,34200.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2020-11-05,34200.0,860814.0,25.38,0.51,0.87,860814.0,0.0,34200.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2020-11-06,34200.0,859959.0,22.75,0.51,0.87,859959.0,0.0,34200.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2020-11-09,34200.0,898434.0,23.5,0.51,0.87,898434.0,0.0,34200.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2020-11-10,34200.0,906813.0,24.11,0.51,0.9,906813.0,0.0,34200.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2020-11-11,34200.0,915192.0,19.32,0.51,0.9,915192.0,0.0,34200.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2020-11-12,34200.0,904419.0,17.12,0.51,0.91,904419.0,0.0,34200.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-01-28,14500.0,404767.5,3.07,0.23,0.41,404767.5,0.0,14500.0,0.0,,14500.0,,,0.41,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-01-29,14500.0,400635.0,3.06,0.23,0.4,400635.0,0.0,14500.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-02-01,14500.0,404695.0,3.37,0.23,0.4,404695.0,0.0,14500.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-02-02,14500.0,408030.0,2.99,0.23,0.41,408030.0,0.0,14500.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-02-03,14500.0,408030.0,3.18,0.23,0.41,408030.0,0.0,14500.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-02-11,4500.0,129667.5,0.79,0.07,0.13,129667.5,0.0,4500.0,0.0,,4500.0,,,0.13,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-02-12,4500.0,130387.5,0.79,0.07,0.13,130387.5,0.0,4500.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-02-15,4500.0,132435.0,0.79,0.07,0.13,132435.0,0.0,4500.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-02-16,4500.0,132255.0,0.79,0.07,0.13,132255.0,0.0,4500.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-02-17,4500.0,131467.5,0.79,0.07,0.13,131467.5,0.0,4500.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-02-18,4500.0,130635.0,0.79,0.07,0.13,130635.0,0.0,4500.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-02-19,4500.0,131535.0,0.79,0.07,0.13,131535.0,0.0,4500.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-02-22,4500.0,130927.5,0.79,0.07,0.13,130927.5,0.0,4500.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-02-23,4500.0,130365.0,0.79,0.07,0.13,130365.0,0.0,4500.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-02-24,18500.0,538257.5,3.45,0.27,0.5,538257.5,0.0,18500.0,0.0,0.37,,14000.0,0.37,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-02-25,14000.0,412300.0,2.73,0.21,0.36,412300.0,0.0,14000.0,0.0,,,,,,4500.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-02-26,14000.0,402010.0,2.15,0.19,0.37,402010.0,0.0,14000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-03-01,14000.0,410900.0,2.09,0.19,0.37,410900.0,0.0,14000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-03-02,14000.0,412720.0,2.08,0.18,0.37,412720.0,0.0,14000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-03-03,14000.0,412090.0,1.85,0.18,0.37,412090.0,0.0,14000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-10-01,14200.0,462210.0,2.55,0.22,0.46,462210.0,0.0,14200.0,0.0,,14200.0,,,0.46,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-10-04,14200.0,460790.0,2.58,0.22,0.46,460790.0,0.0,14200.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-10-05,22200.0,729048.0,4.07,0.35,0.72,729048.0,0.0,22200.0,0.0,0.26,,8000.0,0.26,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-10-06,22200.0,721056.0,4.16,0.35,0.73,721056.0,0.0,22200.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-10-07,22200.0,731490.0,5.36,0.35,0.72,731490.0,0.0,22200.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-10-08,22200.0,730491.0,5.5,0.35,0.73,730491.0,0.0,22200.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-10-11,11200.0,368424.0,2.82,0.17,0.37,368424.0,0.0,11200.0,0.0,,,,,,11000.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-10-12,11200.0,368368.0,2.82,0.17,0.37,368368.0,0.0,11200.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-10-13,6200.0,204600.0,1.65,0.1,0.2,204600.0,0.0,6200.0,0.0,,,,,,5000.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-10-14,6200.0,206801.0,1.76,0.1,0.2,206801.0,0.0,6200.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-10-15,3000.0,100560.0,0.85,0.05,0.1,100560.0,0.0,3000.0,0.0,,,,,,3200.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-10-18,3000.0,100020.0,0.9,0.05,0.1,100020.0,0.0,3000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-11-02,20000.0,680900.0,13.26,0.31,0.68,680900.0,0.0,20000.0,0.0,,20000.0,,,0.68,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-11-03,20000.0,684500.0,18.05,0.31,0.68,684500.0,0.0,20000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-11-04,20000.0,686500.0,31.1,0.31,0.68,686500.0,0.0,20000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-11-05,20000.0,686800.0,31.09,0.31,0.69,686800.0,0.0,20000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-11-08,20000.0,687200.0,45.11,0.31,0.69,687200.0,0.0,20000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
2021-11-09,20000.0,687000.0,45.11,0.31,0.69,687000.0,0.0,20000.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0
