,PABW FP Equity_DX_SI_QTY,PABW FP Equity_DX_SHORT_INTEREST_VALUE,PABW FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PABW FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PABW FP Equity_DX_SI_MV,PABW FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PABW FP Equity_DX_SUPPLY_SI_QTY,PABW FP Equity_DX_BROKER_SI_QTY,PABW FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PABW FP Equity_DX_BROKER_SI_QTY_ADD,PABW FP Equity_DX_SUPPLY_SI_MV_DEC,PABW FP Equity_DX_SUPPLY_SI_QTY_DEC,PABW FP Equity_DX_BROKER_SI_MV_ADD,PABW FP Equity_DX_SUPPLY_SI_QTY_ADD,PABW FP Equity_DX_BROKER_SI_QTY_DEC,PABW FP Equity_DX_SUPPLY_SI_MV,PABW FP Equity_DX_BROKER_SI_MV_DEC,PABW FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PABW FP Equity_DX_UTILIZATION_QUANTITY,PABW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PABW FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PABW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PABW FP Equity_DX_ACTIVE_UTILIZATION_MV,PABW FP Equity_DX_BROKER_SI_CON_RATIO,PABW FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PABW FP Equity_DX_DEMAND_SUPPLY_RATIO,PABW FP Equity_PX_LAST
2023-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,55.869
2023-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,62.102
2023-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,62.459
2023-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,62.373
2023-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,62.924
2023-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,63.092
2023-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,63.076
2023-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,63.413
2023-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,63.304
2023-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,63.878
2023-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,63.832
2023-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,63.926
2023-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,64.02
2023-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,63.608
2023-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,63.732
2023-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,63.592
2023-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,63.996
2023-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,63.735
2024-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,63.889
2024-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,63.464
2024-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,63.473
2024-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,63.305
2024-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,63.462
2024-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,64.058
2024-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,64.056
2024-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,63.862
2024-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,64.501
2024-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,64.498
2024-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,64.613
2024-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,64.16
2024-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,64.523
2024-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,64.649
2024-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,65.464
2024-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,65.541
2024-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,65.88
2024-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,66.197
2024-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,66.201
2024-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,66.443
2024-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,66.545
2024-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,66.115
2024-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,65.82
2024-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,66.831
2024-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,66.933
2024-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,67.055
2024-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,67.503
2024-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,67.422
2024-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,67.669
2024-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,68.215
2024-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,67.471
2024-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,67.587
2024-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,67.894
2024-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,68.144
2024-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,67.985
2024-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,67.379
2024-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,67.22
2024-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,68.295
2024-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,68.531
2024-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,68.38
2024-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,68.123
2024-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,6817.3,0.01,0.0,0.0,,0.0,68.173
2024-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,6830.8,0.01,0.0,0.0,,0.0,68.308
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,6898.9,0.01,0.0,0.0,,0.0,68.989
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,102.0,7026.07,0.01,0.0,0.0,,0.0,68.883
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,102.0,6966.91,0.01,0.0,0.0,,0.0,68.303
2024-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,102.0,6991.9,0.01,0.0,0.0,,0.0,68.548
2024-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,102.0,7030.86,0.01,0.0,0.0,,0.0,68.93
2024-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,102.0,7039.53,0.01,0.0,0.0,,0.0,69.015
2024-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,102.0,6982.0,0.01,0.0,0.0,,0.0,68.451
2024-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,102.0,7043.92,0.01,0.0,0.0,,0.0,69.058
2024-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,102.0,7033.21,0.01,0.0,0.0,,0.0,68.953
2024-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,102.0,7043.1,0.01,0.0,0.0,,0.0,69.05
2024-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,102.0,6989.35,0.01,0.0,0.0,,0.0,68.523
2024-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,102.0,7041.47,0.01,0.0,0.0,,0.0,69.034
2024-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,102.0,7044.53,0.01,0.0,0.0,,0.0,69.064
2024-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,102.0,7071.05,0.01,0.0,0.0,,0.0,69.324
2024-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,102.0,7172.84,0.01,0.0,0.0,,0.0,70.322
2024-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,102.0,7154.79,0.01,0.0,0.0,,0.0,70.145
2024-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,102.0,7123.99,0.01,0.0,0.0,,0.0,69.843
2024-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,102.0,7134.49,0.01,0.0,0.0,,0.0,69.946
2024-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,102.0,7125.92,0.01,0.0,0.0,,0.0,69.862
2024-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,102.0,7167.44,0.01,0.0,0.0,,0.0,70.269
2024-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,102.0,7167.44,0.01,0.0,0.0,,0.0,
2024-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,102.0,7167.44,0.01,0.0,0.0,,0.0,
2024-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,102.0,7089.31,0.01,0.0,0.0,,0.0,69.503
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,102.0,7101.04,0.01,0.0,0.0,,0.0,69.618
2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,104.0,7238.5,0.01,0.0,0.0,,0.0,69.601
2024-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,104.0,7193.37,0.01,0.0,0.0,,0.0,69.167
2024-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,104.0,7204.29,0.01,0.0,0.0,,0.0,69.272
2024-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,104.0,7174.13,0.01,0.0,0.0,,0.0,68.982
2024-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,104.0,7206.37,0.01,0.0,0.0,,0.0,69.292
2024-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,104.0,7205.12,0.01,0.0,0.0,,0.0,69.28
2024-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,104.0,7241.0,0.01,0.0,0.0,,0.0,69.625
2024-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,104.0,7226.44,0.01,0.0,0.0,,0.0,69.485
2024-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,104.0,7114.43,0.01,0.0,0.0,,0.0,68.408
2024-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,104.0,7085.83,0.01,0.0,0.0,,0.0,68.133
2024-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,104.0,7096.23,0.01,0.0,0.0,,0.0,68.233
2024-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,104.0,7004.4,0.01,0.0,0.0,,0.0,67.35
2024-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,104.0,7014.07,0.01,0.0,0.0,,0.0,67.443
2024-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,104.0,7092.8,0.01,0.0,0.0,,0.0,68.2
2024-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,104.0,7093.53,0.01,0.0,0.0,,0.0,68.207
2024-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,104.0,7006.79,0.01,0.0,0.0,,0.0,67.373
2024-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,104.0,7161.34,0.01,0.0,0.0,,0.0,68.859
2024-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,104.0,7131.7,0.01,0.0,0.0,,0.0,68.574
2024-04-30,400.0,27315.6,0.19,0.01,0.03,13657.8,200.0,200.0,13657.8,200.0,,,0.01,200.0,,0.01,,100.0,65.79,0.0,0.0,0.0,100.0,1.0,100.0,1.3158,68.289
2024-05-01,400.0,27315.6,0.19,0.01,0.03,13657.8,200.0,200.0,13657.8,,,,,,,0.01,,100.0,65.79,0.0,0.0,0.0,100.0,1.0,100.0,1.3158,
2024-05-02,400.0,27224.8,0.19,0.01,0.03,13612.4,200.0,200.0,13612.4,,,,,,,0.01,,100.0,65.79,0.0,0.0,0.0,100.0,1.0,100.0,1.3158,68.062
2024-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.01,200.0,,,200.0,0.0,0.01,0.0,0.0,209.0,14387.35,0.01,0.0,0.0,,0.0,68.839
2024-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,109.0,7550.54,0.01,0.0,0.0,,0.0,69.271
2024-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,109.0,7617.9,0.01,0.0,0.0,,0.0,69.889
2024-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,109.0,7613.11,0.01,0.0,0.0,,0.0,69.845
2024-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,209.0,14632.3,0.01,0.0,0.0,,0.0,70.011
2024-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,209.0,14691.45,0.01,0.0,0.0,,0.0,70.294
2024-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,109.0,7649.73,0.01,0.0,0.0,,0.0,70.181
2024-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,109.0,7652.67,0.01,0.0,0.0,,0.0,70.208
2024-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,109.0,7721.23,0.01,0.0,0.0,,0.0,70.837
2024-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,109.0,7740.74,0.01,0.0,0.0,,0.0,71.016
2024-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,109.0,7704.12,0.01,0.0,0.0,,0.0,70.68
2024-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,109.0,7744.89,0.01,0.0,0.0,,0.0,71.054
2024-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,109.0,7744.89,0.01,0.0,0.0,,0.0,71.054
2024-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,109.0,7765.16,0.01,0.0,0.0,,0.0,71.24
2024-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,109.0,7753.06,0.01,0.0,0.0,,0.0,71.129
2024-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,109.0,7749.9,0.01,0.0,0.0,,0.0,71.1
2024-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,109.0,7767.56,0.01,0.0,0.0,,0.0,71.262
2024-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,109.0,7713.82,0.01,0.0,0.0,,0.0,70.769
2024-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,109.0,7681.01,0.01,0.0,0.0,,0.0,70.468
2024-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,109.0,7676.43,0.01,0.0,0.0,,0.0,70.426
2024-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,111.0,7762.79,0.01,0.0,0.0,,0.0,69.935
2024-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,111.0,7795.09,0.01,0.0,0.0,,0.0,70.226
2024-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,111.0,7789.09,0.01,0.0,0.0,,0.0,70.172
2024-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,111.0,7895.87,0.01,0.0,0.0,,0.0,71.134
2024-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,111.0,7910.75,0.01,0.0,0.0,,0.0,71.268
2024-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,113.0,8103.57,0.01,0.0,0.0,,0.0,71.713
2024-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,113.0,8126.51,0.01,0.0,0.0,,0.0,71.916
2024-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,113.0,8116.23,0.01,0.0,0.0,,0.0,71.825
2024-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,113.0,8198.6,0.01,0.0,0.0,,0.0,72.554
2024-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,113.0,8181.77,0.01,0.0,0.0,,0.0,72.405
2024-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,113.0,8226.4,0.01,0.0,0.0,,0.0,72.8
2024-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,113.0,8217.59,0.01,0.0,0.0,,0.0,72.722
2024-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,113.0,8271.04,0.01,0.0,0.0,,0.0,73.195
2024-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,113.0,8265.16,0.01,0.0,0.0,,0.0,73.143
2024-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,113.0,8303.81,0.01,0.0,0.0,,0.0,73.485
2024-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,113.0,8277.82,0.01,0.0,0.0,,0.0,73.255
2024-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,113.0,8269.91,0.01,0.0,0.0,,0.0,73.185
2024-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,113.0,8256.01,0.01,0.0,0.0,,0.0,73.062
2024-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,113.0,8267.53,0.01,0.0,0.0,,0.0,73.164
2024-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,113.0,8269.91,0.01,0.0,0.0,,0.0,73.185
2024-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,113.0,8278.72,0.01,0.0,0.0,,0.0,73.263
2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,113.0,8242.45,0.01,0.0,0.0,,0.0,72.942
2024-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,113.0,8240.98,0.01,0.0,0.0,,0.0,72.929
2024-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,114.0,8354.49,0.01,0.0,0.0,,0.0,73.285
2024-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,114.0,8368.51,0.01,0.0,0.0,,0.0,73.408
2024-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,114.0,8372.96,0.01,0.0,0.0,,0.0,73.447
2024-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,114.0,8399.86,0.01,0.0,0.0,,0.0,73.683
